id,question,expected_answer,expected_document,expected_chunk_ids,difficulty,category,notes
1,Who welcomed everyone at the beginning of the meeting and what was the primary objective of the meeting?,"Adhik Sir welcomed everyone. The meeting's objective was to review the website prototype, discuss issues and concerns, and identify solutions for the challenges.",Minutes of Meeting – BWF Software Prototype Discussion,[114],easy,direct_lookup,
2,Who presented the Student Page during the meeting?,Somesh presented the Student Page.,Minutes of Meeting – BWF Software Prototype Discussion,[114],easy,direct_lookup,
3,What student information fields were decided to be maintained in the system?,"The system should maintain Name, Class, Age, Gender, Verification Document, and Present Class Information.",Minutes of Meeting – BWF Software Prototype Discussion,[115],easy,direct_lookup,
4,What scalability target was planned for the student management system over the next five years?,"The system should support approximately 1,500 students over the next five years.",Minutes of Meeting – BWF Software Prototype Discussion,[115],easy,direct_lookup,
5,How should daily task management work for students of different age groups and classes?,"Teachers enter daily task data for Classes 1–4, while students in Class 5 and above enter their own data. Only students aged 10 and above can access daily tasks. Students in Classes 5–7 cannot view their own data, while students in Class 8 and above can view it.",Minutes of Meeting – BWF Software Prototype Discussion,[115],medium,procedure,
6,What decision was made regarding student privacy within the portal?,Personal information should not be visible for students below the 10th standard.,Minutes of Meeting – BWF Software Prototype Discussion,[115],medium,paraphrase,
7,"After the lunch break, what ideas were suggested to make the student portal more engaging and user-friendly?","Suggestions included implementing a well-being section, daily inspiration automation, simplifying tasks for younger students, adding a reward-based motivation system, and improving usability from the student's perspective.",Minutes of Meeting – BWF Software Prototype Discussion,[117],medium,paraphrase,
8,How is the complaint and SOS system expected to function for students?,"Students should have Get Help and SOS buttons. Complaints are routed to the Admin, Warden, and Secondary Admin, with teacher approval required before reaching the Warden. Unresolved complaints are escalated further, and the SOS feature sends an email alert to the coordinator.",Minutes of Meeting – BWF Software Prototype Discussion,"[117, 118]",medium,multi_section,
9,Describe the complete platform flow after a user logs in and summarize the community-related features that were planned.,"After logging in, users first reach the Community Page and then the Dashboard. The Community Page serves as the landing page after login and is planned to support future image and video uploads.",Minutes of Meeting – BWF Software Prototype Discussion,"[118, 119]",hard,multi_section,
10,Summarize the additional administrative and reporting features discussed after the remaining Admin Page presentation.,"The discussion included SOS monitoring, evaluation and feedback systems, yearly report generation, timeline-based reports, birthday and calendar notifications, a personal diary with PDF download support, a community page, and improvements to the rating system.",Minutes of Meeting – BWF Software Prototype Discussion,"[118, 119]",hard,multi_section,
11,"Across the discussions on the Student Page, what overall design principles and access restrictions were decided for younger students?","The portal should provide intuitive navigation, an age-appropriate interface, simple and engaging tasks, age- and class-wise access, protection of personal information, restricted visibility of daily task data for younger students, and reward-based motivation to improve engagement.",Minutes of Meeting – BWF Software Prototype Discussion,"[114, 115, 117]",hard,multi_section,
12,Which cloud platform was selected to host the backend of the software prototype?,The provided meeting minutes do not specify any cloud platform or backend hosting decision.,Minutes of Meeting – BWF Software Prototype Discussion,"[115,116,117]",hard,negative,
13,Who is eligible to receive leave under the standard leave policy?,All regular employees are entitled to leave as per the standard leave policy.,leave-policy.pdf,[122],easy,direct_lookup,
14,What are the three main types of leave provided under the leave policy?,"The policy provides Casual Leave (CL), Sick Leave (SL), and Earned/Privilege Leave (EL/PL).",leave-policy.pdf,[122],easy,direct_lookup,
15,"How should an employee apply for Earned or Privilege Leave, and what restrictions apply when availing it?","Employees must apply in writing at least seven full working days before taking Earned/Privilege Leave. Leave can be availed a maximum of three times in a 12-month period, and eligibility depends on continuous service requirements.",leave-policy.pdf,[125],medium,procedure,
16,"What happens to unused Casual Leave, Sick Leave, and Earned Leave at the end of the calendar year?","Unused Casual Leave and Sick Leave automatically lapse and cannot be carried forward. Unused Earned Leave may be carried forward to the next calendar year, subject to a maximum of 45 days.",leave-policy.pdf,"[124, 126]",hard,multi_section,
17,"If a new employee joins in the middle of the year or an employee resigns, how does the leave policy determine their leave entitlement?","Leave entitlement is calculated on a pro-rata basis. Casual Leave, Sick Leave, and Earned Leave are prorated for employees joining mid-year, and employees who resign receive leave entitlement calculated up to their last working day, with any excess leave adjusted during Full and Final Settlement.",leave-policy.pdf,"[122, 124, 125, 126]",hard,multi_section,
18,Summarize the maternity leave benefits and additional provisions available to eligible female employees.,"Eligible female employees can receive up to 26 weeks of paid maternity leave, or 12 weeks if they already have two or more children. They must have worked at least 80 days in the previous 12 months. Additional benefits include paid leave for miscarriage or medical termination, extra paid leave for pregnancy-related complications, and protection from being assigned arduous work during pregnancy.",leave-policy.pdf,"[126, 127]",hard,multi_section,
19,Does the leave policy specify the number of annual public holidays provided to employees?,The provided leave policy does not specify the number of annual public holidays available to employees.,leave-policy.pdf,[122],medium,negative,
20,What was the primary cause of the synchronization failure in Orion Aerospace's satellite coordination network?,"The synchronization failure was caused by a firmware-level timing calibration bug introduced during a routine update to QuantumSync distributed timing nodes, leading to distributed clock drift and downstream system inconsistencies.",engineerSummary.txt,[111],easy,direct_lookup,
21,How many satellites were affected by the incident and how long did the incident last?,The incident affected 43 active satellites and lasted 3 hours and 12 minutes.,engineerSummary.txt,[109],easy,direct_lookup,
22,Which core systems were involved in the incident?,"The core systems involved were AstraNav Autonomous Navigation Engine, QuantumSync Distributed Timing Service, Helios Telemetry Pipeline, Atlas Collision Prediction Engine, and Horizon Mission Control Dashboard.",engineerSummary.txt,"[109, 110]",easy,direct_lookup,
23,What sequence of events occurred after the timing synchronization problem was identified until the incident was resolved?,"After timing discrepancies were detected, conflicting orbital projections appeared, satellite positions became inconsistent, emergency operations were activated, autonomous maneuvers were suspended, infrastructure delays were investigated, the QuantumSync timing issue was isolated, atomic clock fallback synchronization was enabled, telemetry consistency was restored, and the incident was officially resolved.",engineerSummary.txt,"[110, 111]",hard,multi_section,
24,How did Orion Aerospace respond immediately after identifying the root cause of the synchronization issue?,"The response included disabling the affected QuantumSync firmware rollout, activating atomic clock fallback synchronization, increasing Pulsar consumer scaling, expanding telemetry replay buffers, and reducing non-critical AI inference workloads.",engineerSummary.txt,[112],medium,procedure,
25,What technical factors contributed to the incident besides the primary firmware bug?,"Secondary contributing factors included missing distributed drift anomaly alerts, lack of chaos testing for multi-region clock desynchronization, telemetry replay buffers configured below recommended capacity, and conservative GPU inference autoscaling thresholds.",engineerSummary.txt,"[111, 112]",medium,multi_section,
26,What recommendations were made to improve future reliability of the infrastructure after this incident?,"Recommendations included building a semantic infrastructure incident memory system, introducing graph-based dependency visualization, storing telemetry anomaly embeddings for predictive retrieval, and adding an automated root cause correlation engine.",engineerSummary.txt,[113],medium,paraphrase,
27,"According to the report, what Kubernetes version was used in the infrastructure stack?",The infrastructure stack used Kubernetes version 1.30.0.,engineerSummary.txt,[110],easy,direct_lookup,
28,Which cloud regions hosted the command infrastructure involved in the incident?,"The command infrastructure operated across eu-central-1 (Frankfurt), ap-southeast-1 (Singapore), and us-east-1 (Virginia).",engineerSummary.txt,[110],easy,keyword_search,
29,Which AI models were used in Orion Aerospace's autonomous navigation platform?,"The AI models included the LSTM Orbit Prediction Model, Reinforcement Learning Fuel Optimizer, and Transformer-based Telemetry Classifier.",engineerSummary.txt,[110],easy,keyword_search,
30,What was the peak Pulsar backlog observed during the incident?,The peak observed Pulsar backlog was 5.2 million events.,engineerSummary.txt,[112],easy,keyword_search,
31,Does the report mention the total financial loss caused by the synchronization failure?,The report does not specify any financial loss resulting from the incident.,engineerSummary.txt,[109],medium,negative,
32,What improvements is Apple planning for the next generation of AirPods according to the AIRPOD-PRD document?,"The project aims to develop smart adaptive technologies, improve user experience, provide a better in-ear fit, enhance product design, offer customization options, improve sound quality, and introduce smarter interactions while expanding Apple's market leadership.",AIRPOD-PRD,[129],easy,paraphrase,
33,Who are the primary customers that the new AirPods are being designed for?,The primary target group consists of high-income professionals between the ages of 20 and 45 who value recreation and self-expression. The target purchaser also includes Full Nest I and Full Nest II mothers.,AIRPOD-PRD,[130],easy,direct_lookup,
34,"If I often work in noisy places like cafés or restaurants, how are the new AirPods expected to help me according to the AIRPOD-PRD user stories?","The earbuds are designed to let users quickly switch between focusing on phone calls and hearing surrounding sounds, adjust volume directly from the earbuds, and seamlessly combine environmental sound with audio when needed.",AIRPOD-PRD,[132],medium,paraphrase,
35,How will the AIRPOD-PRD help people whose earbuds often fall out while exercising?,"The product is designed with custom fit options, activity-focused customization, sweat resistance, tracking through the Find My app if earbuds are lost, and fit requirements intended to prevent the earbuds from falling out during running.",AIRPOD-PRD,"[133, 138, 139]",hard,multi_section,
36,Can the new AirPods automatically pause music when I remove an earbud and resume playback when I put it back in?,Yes. The product is required to automatically pause playback when an earbud is removed and resume from the same point when it is reinserted.,AIRPOD-PRD,[137],easy,direct_lookup,
37,"Besides Active Noise Cancellation, what intelligent audio features are planned for the new AirPods?","The product should support hearing environmental sound alongside audio, adapt audio when only one earbud is worn, automatically switch audio between devices based on user attention, tune audio to the wearer's ear shape, and support spatial audio based on head orientation.",AIRPOD-PRD,[138],medium,multi_section,
38,What customization options will customers have for the new AirPods according to the product requirements?,"Customers will have multiple custom-fit options, engraving for text or icons, and at least five available color options including black, white, gold, and several Apple lifestyle colors.",AIRPOD-PRD,"[138, 139]",medium,multi_section,
39,"If I lose one of my AirPods, will the new version help me find it?",Yes. The product is required to connect with a tracker application that allows users to locate lost earbuds.,AIRPOD-PRD,[136],easy,paraphrase,
40,"Will the new AirPods support fast charging, and how much listening time can I get from it?","The product should support Fast Fuel charging that provides up to one hour of listening in under five minutes, and the charging case should provide more than 20 hours of total listening time.",AIRPOD-PRD,"[136, 137]",medium,multi_section,
41,What durability and environmental tests must the new AirPods pass before release?,"The product must meet IPX4 water and sweat resistance, pass drop, vibration, hammer impact, humidity, temperature, low-pressure, salt fog, EMI, pressure, and accelerated life testing while also protecting users' hearing.",AIRPOD-PRD,"[140, 141]",hard,multi_section,
42,When was the next-generation AirPods planned to be released according to the AIRPOD-PRD?,"The planned release date was October 28, 2019.",AIRPOD-PRD,[143],easy,keyword_search,
43,Does the AIRPOD-PRD specify how much the new AirPods will cost customers when they are released?,No. The document specifies a manufacturing FOB cost target but does not mention the customer retail price.,AIRPOD-PRD,[139],medium,negative,
44,What is the purpose of the iCIMS IT Security Policy?,"The policy defines safeguards to protect Subscriber Data and other protected information, maintain data confidentiality, integrity, and availability, and provide consistent security controls for iCIMS and its customers.",IT Security Policy,[149],easy,direct_lookup,
45,Who owns and administers the IT Security Policy at iCIMS?,The iCIMS Information Security Department owns and administers the IT Security Policy.,IT Security Policy,[156],easy,direct_lookup,
46,Which systems does the iCIMS IT Security Policy apply to?,"The policy applies to all systems, including network equipment and communication systems, supporting iCIMS internal and remote operations, products, and services.",IT Security Policy,[156],easy,paraphrase,
47,What encryption standard does the policy require for protecting data stored at rest?,Data at rest must be encrypted using at least AES 256-bit encryption.,IT Security Policy,[158],easy,keyword_search,
48,Which protocols are approved for protecting sensitive information while it is being transmitted?,Strong cryptography such as TLS 1.2 or IPSEC must be used to protect sensitive data during transmission.,IT Security Policy,[158],easy,keyword_search,
49,What hashing algorithm does the IT Security Policy require for storing hashed data?,The policy requires bcrypt for hashing stored data.,IT Security Policy,[158],easy,keyword_search,
50,"If I'm creating a password for an iCIMS system, what minimum requirements do I need to meet?","Passwords must be at least eight characters long. Where NIST complexity requirements cannot be followed, they should include uppercase letters, lowercase letters, and digits.",IT Security Policy,[161],medium,procedure,
51,How many incorrect login attempts are allowed before an account is locked according to the password policy?,Accounts are locked after seven incorrect login attempts.,IT Security Policy,[162],easy,keyword_search,
52,How long does an account remain locked after too many failed password attempts?,The account remains locked for at least 30 minutes or until an administrator resets it after verifying the user's identity.,IT Security Policy,[162],easy,direct_lookup,
53,Can employees install any software they want on company-managed computers?,"No. Only authorized, supported, properly licensed software may be installed, and installation is limited to approved administrators or personnel.",IT Security Policy,[166],medium,paraphrase,
54,What should happen if unauthorized software is found on an iCIMS-managed system?,Unauthorized software is prohibited and must be removed immediately if discovered.,IT Security Policy,[166],easy,procedure,
55,What physical security practices are employees expected to follow when leaving their workspace?,Personnel should follow clean desk and clean screen practices and appropriately secure sensitive information.,IT Security Policy,[167],medium,paraphrase,
56,How often must backups be performed for critical systems containing production Subscriber Data or PII?,"Backups for critical systems containing production Subscriber Data, Personal Data, or PII must be performed at least daily.",IT Security Policy,[172],easy,keyword_search,
57,"If my computer is suspected to have a virus, what actions does the IT Security Policy require?","The system must be isolated from the network, scanned and cleaned, affected removable media or systems treated, and if malware removal cannot be confirmed, the system must be wiped and re-imaged.",IT Security Policy,"[173, 174]",hard,multi_section,
58,What access control principle does the policy require users and administrators to follow when granting permissions?,The policy requires following the Principle of Least Privilege using role-based access control (RBAC).,IT Security Policy,[176],medium,paraphrase,
59,Does the IT Security Policy require MFA for remote access to company services like VPN or Office365?,"Yes. Remote access must use two-factor authentication (TFA) or multi-factor authentication (MFA), unless connected to the protected corporate network where applicable.",IT Security Policy,[178],easy,keyword_search,
60,"For how long must security logs be retained under the Auditing, Logging, and Monitoring Policy?",Security logs must be retained for one year.,IT Security Policy,[181],easy,keyword_search,
61,What information should be recorded in audit trail entries for security events?,"Audit entries should record the user identification, event type, date and time, success or failure, and the affected data, system component, or resource.",IT Security Policy,"[181, 182]",medium,multi_section,
62,How frequently are external penetration tests required under the Vulnerability Management Policy?,External and application penetration tests must be performed by an independent third party at least once per calendar year or after significant infrastructure or application changes.,IT Security Policy,[183],medium,keyword_search,
63,"If a critical zero-day security vulnerability is discovered, how quickly should it be addressed according to the policy?",Zero-day vulnerabilities should be addressed within 14 days.,IT Security Policy,[184],easy,keyword_search,
64,What security checks must be completed before software changes are moved into the production environment at iCIMS?,"Software changes must be tested for error handling, secure communications, RBAC validation, performance impact, appropriate test data usage, account cleanup, and follow change control procedures before deployment.",IT Security Policy,[199],hard,multi_section,
65,"According to the Software Development Policy, which OWASP Top 10 vulnerabilities should developers protect against?","Developers must follow secure coding practices covering the OWASP Top 10, including Broken Access Control, Cryptographic Failures, Injection, Insecure Design, Security Misconfiguration, Vulnerable Components, Identification and Authentication Failures, Software and Data Integrity Failures, Security Logging and Monitoring Failures, and Server-Side Request Forgery.",IT Security Policy,"[200, 201]",hard,multi_section,
